date,year,week,team,team_score,opponent,opponent_score,win,home,overtime,year_week,team_win,opponent_win,temperature,wind,humidity,roof,is_outdoors,surface,is_grass,team_first_downs,team_total_yards,team_turnovers_lost,team_time_of_possession,team_rush_count,team_rush_yards,team_rush_td,team_pass_completions,team_pass_count,team_pass_yards,team_pass_td,team_interceptions_lost,team_sack_count,team_sack_yards,team_fumble_count,team_fumble_lost,team_penalty_count,team_penalty_yards,team_third_down_count,team_third_down_conversions,team_third_down_ratio,team_fourth_down_count,team_fourth_down_conversions,team_fourth_down_ratio,opponent_first_downs,opponent_total_yards,opponent_turnovers_lost,opponent_time_of_possession,opponent_rush_count,opponent_rush_yards,opponent_rush_td,opponent_pass_completions,opponent_pass_count,opponent_pass_yards,opponent_pass_td,opponent_interceptions_lost,opponent_sack_count,opponent_sack_yards,opponent_fumble_count,opponent_fumble_lost,opponent_penalty_count,opponent_penalty_yards,opponent_third_down_count,opponent_third_down_conversions,opponent_third_down_ratio,opponent_fourth_down_count,opponent_fourth_down_conversions,opponent_fourth_down_ratio,team_tie,opponent_tie,team_loss,opponent_loss,team_wins_before,opponent_wins_before,team_losses_before,opponent_losses_before,team_ties_before,opponent_ties_before,team_record_total_before,opponent_record_total_before,team_record_normal_before,opponent_record_normal_before,team_opp_strength_before,opponent_opp_strength_before,team_opp_trn_before,opponent_opp_trn_before,team_wins_after,opponent_wins_after,team_losses_after,opponent_losses_after,team_ties_after,opponent_ties_after,team_record_total_after,opponent_record_total_after,team_record_normal_after,opponent_record_normal_after,team_opp_strength_after,opponent_opp_strength_after,team_opp_trn_after,opponent_opp_trn_after,team_week_rush_off_perf,opponent_week_rush_off_perf,team_week_rush_def_perf,opponent_week_rush_def_perf,team_week_rush_comp_perf,opponent_week_rush_comp_perf,team_week_pass_off_perf,opponent_week_pass_off_perf,team_week_pass_def_perf,opponent_week_pass_def_perf,team_week_pass_comp_perf,opponent_week_pass_comp_perf,team_week_comb_off_perf,opponent_week_comb_off_perf,team_week_comb_def_perf,opponent_week_comb_def_perf,team_week_comb_comp_perf,opponent_week_comb_comp_perf,team_cml_rush_off_perf_before,opponent_cml_rush_off_perf_before,team_cml_rush_def_perf_before,opponent_cml_rush_def_perf_before,team_cml_rush_comp_perf_before,opponent_cml_rush_comp_perf_before,team_cml_pass_off_perf_before,opponent_cml_pass_off_perf_before,team_cml_pass_def_perf_before,opponent_cml_pass_def_perf_before,team_cml_pass_comp_perf_before,opponent_cml_pass_comp_perf_before,team_cml_comb_off_perf_before,opponent_cml_comb_off_perf_before,team_cml_comb_def_perf_before,opponent_cml_comb_def_perf_before,team_cml_comb_comp_perf_before,opponent_cml_comb_comp_perf_before,team_cml_rush_off_perf_after,opponent_cml_rush_off_perf_after,team_cml_rush_def_perf_after,opponent_cml_rush_def_perf_after,team_cml_rush_comp_perf_after,opponent_cml_rush_comp_perf_after,team_cml_pass_off_perf_after,opponent_cml_pass_off_perf_after,team_cml_pass_def_perf_after,opponent_cml_pass_def_perf_after,team_cml_pass_comp_perf_after,opponent_cml_pass_comp_perf_after,team_cml_comb_off_perf_after,opponent_cml_comb_off_perf_after,team_cml_comb_def_perf_after,opponent_cml_comb_def_perf_after,team_cml_comb_comp_perf_after,opponent_cml_comb_comp_perf_after,team_points_cml_before,opponent_points_cml_before,team_points_cml_after,opponent_points_cml_after,team_rush_yards_cml_before,opponent_rush_yards_cml_before,team_pass_yards_cml_before,opponent_pass_yards_cml_before,team_total_yards_cml_before,opponent_total_yards_cml_before,team_rush_yards_cml_after,opponent_rush_yards_cml_after,team_pass_yards_cml_after,opponent_pass_yards_cml_after,team_total_yards_cml_after,opponent_total_yards_cml_after,team_opp_trn,opponent_opp_trn
2013-09-05,2013,1,Denver Broncos,49,Baltimore Ravens,27,1,1,0,2013-1,1,0,83.0,7.0,30.0,outdoors,1,grass,1,24,510,2,26:12,23,65,0,27,42,462,7,0,3,17,3,2,8,61,15,8,0.53,0,0,0.0,24,393,2,33:48,21,58,1,34,62,362,2,2,4,27,1,0,7,53,22,8,0.36,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,-1,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,49,27,0,0,0,0,0,0,65,58,462,362,510,393,0.5,0.5
2013-09-05,2013,1,Baltimore Ravens,27,Denver Broncos,49,0,0,0,2013-1,0,1,83.0,7.0,30.0,outdoors,1,grass,1,24,393,2,33:48,21,58,1,34,62,362,2,2,4,27,1,0,7,53,22,8,0.36,1,0,0.0,24,510,2,26:12,23,65,0,27,42,462,7,0,3,17,3,2,8,61,15,8,0.53,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,-1,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27,49,0,0,0,0,0,0,58,65,362,462,393,510,0.5,0.5
2013-09-08,2013,1,Buffalo Bills,21,New England Patriots,23,0,1,0,2013-1,0,1,65.0,11.0,55.0,outdoors,1,a_turf,0,15,286,2,22:17,34,136,0,18,27,150,2,0,0,0,3,2,10,75,13,4,0.31,0,0,0.0,26,431,3,37:43,34,158,0,29,52,288,2,1,3,15,2,2,4,36,20,11,0.55,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,-1,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21,23,0,0,0,0,0,0,136,158,150,288,286,431,0.5,0.5
2013-09-08,2013,1,New England Patriots,23,Buffalo Bills,21,1,0,0,2013-1,1,0,65.0,11.0,55.0,outdoors,1,a_turf,0,26,431,3,37:43,34,158,0,29,52,288,2,1,3,15,2,2,4,36,20,11,0.55,1,0,0.0,15,286,2,22:17,34,136,0,18,27,150,2,0,0,0,3,2,10,75,13,4,0.31,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,-1,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23,21,0,0,0,0,0,0,158,136,288,150,431,286,0.5,0.5
2013-09-08,2013,1,Pittsburgh Steelers,9,Tennessee Titans,16,0,1,0,2013-1,0,1,73.0,9.0,76.0,outdoors,1,grass,1,14,194,2,25:59,15,31,0,21,33,191,1,1,5,28,2,1,4,47,13,4,0.31,1,1,1.0,17,229,0,34:01,42,112,1,11,20,125,0,0,1,8,1,0,6,60,15,6,0.4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,-1,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,16,0,0,0,0,0,0,31,112,191,125,194,229,0.5,0.5
2013-09-08,2013,1,Tennessee Titans,16,Pittsburgh Steelers,9,1,0,0,2013-1,1,0,73.0,9.0,76.0,outdoors,1,grass,1,17,229,0,34:01,42,112,1,11,20,125,0,0,1,8,1,0,6,60,15,6,0.4,1,1,1.0,14,194,2,25:59,15,31,0,21,33,191,1,1,5,28,2,1,4,47,13,4,0.31,1,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,-1,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16,9,0,0,0,0,0,0,112,31,125,191,229,194,0.5,0.5
2013-09-08,2013,1,Detroit Lions,34,Minnesota Vikings,24,1,1,0,2013-1,1,0,,,,dome,0,fieldturf,0,28,469,2,36:19,34,112,2,28,43,357,2,1,0,0,3,1,11,88,13,5,0.38,1,0,0.0,16,330,4,23:41,22,105,2,18,28,236,1,3,3,11,1,1,5,52,10,2,0.2,2,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,-1,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,34,24,0,0,0,0,0,0,112,105,357,236,469,330,0.5,0.5
2013-09-08,2013,1,Minnesota Vikings,24,Detroit Lions,34,0,0,0,2013-1,0,1,,,,dome,0,fieldturf,0,16,330,4,23:41,22,105,2,18,28,236,1,3,3,11,1,1,5,52,10,2,0.2,2,1,0.5,28,469,2,36:19,34,112,2,28,43,357,2,1,0,0,3,1,11,88,13,5,0.38,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,-1,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24,34,0,0,0,0,0,0,105,112,236,357,330,469,0.5,0.5
2013-09-08,2013,1,Indianapolis Colts,21,Oakland Raiders,17,1,1,0,2013-1,1,0,,,,retractable roof (closed),0,fieldturf,0,18,274,0,27:13,26,127,1,18,23,178,2,0,4,31,0,0,3,31,10,6,0.6,1,0,0.0,20,372,2,32:47,33,171,1,19,29,217,1,2,1,16,0,0,8,51,13,7,0.54,1,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,-1,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21,17,0,0,0,0,0,0,127,171,178,217,274,372,0.5,0.5
2013-09-08,2013,1,Oakland Raiders,17,Indianapolis Colts,21,0,0,0,2013-1,0,1,,,,retractable roof (closed),0,fieldturf,0,20,372,2,32:47,33,171,1,19,29,217,1,2,1,16,0,0,8,51,13,7,0.54,1,1,1.0,18,274,0,27:13,26,127,1,18,23,178,2,0,4,31,0,0,3,31,10,6,0.6,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,-1,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17,21,0,0,0,0,0,0,171,127,217,178,372,274,0.5,0.5
